elo_diff,home_elo,away_elo,home_avg_scored,home_avg_conceded,home_winrate,home_form,away_avg_scored,away_avg_conceded,away_winrate,away_form,neutral,result,result_encoded
26.25,1526.25,1500.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1,Home Win,2
22.5,1522.5,1500.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,0,Away Win,0
-37.5,1478.470047376304,1515.970047376304,1.5,2.5,0.0,0.5,1.5,1.0,0.5,2.0,1,Draw,1
15.0,1515.0,1500.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1,Home Win,2
-30.0,1485.0,1515.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0,Home Win,2
7.5,1522.5,1515.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,0,Draw,1
47.05327187308421,1547.0532718730842,1500.0,4.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0,Draw,1
0.0,1522.5,1522.5,2.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,1,Away Win,0
-45.0,1477.5,1522.5,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0,Away Win,0
1.2919947606662845,1501.2919947606663,1500.0,1.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0,Draw,1
30.647199991534308,1515.0,1484.3528000084657,2.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0,Draw,1
-15.0,1500.0,1515.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0,Draw,1
-66.00466513781817,1469.5633201549692,1535.5679852927874,0.5,1.5,0.0,0.0,1.5,0.0,1.0,3.0,1,Draw,1
1.2362151201034521,1501.2362151201035,1500.0,1.0,1.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0,Draw,1
-1.3477744012291168,1498.7080052393337,1500.0557796405628,1.0,1.0,0.5,1.5,1.0,1.0,0.0,1.0,0,Draw,1
1.182843648322205,1501.1828436483222,1500.0,1.0,1.0,0.25,1.25,0.0,0.0,0.0,0.0,0,Home Win,2
-0.6750875700438428,1500.0,1500.6750875700438,0.0,0.0,0.0,0.0,2.0,2.0,0.5,1.5,0,Draw,1
31.08070911222353,1516.1317763802729,1485.0510672680493,1.2,1.0,0.4,1.6,1.0,2.0,0.0,0.0,0,Away Win,0
